pretty_name,population,WSP_Art_new,wsp2,cb3,outdegree,closeness_bi,betweenness_bi,indegree,position,singleton
Namur (Belgium),46666,core,core,core,0,0.3555438284635041,7.79559912523955e-07,9,Isolate,0
Georgetown (Cayman Islands),42976,periph,,,97,0.412071463061323,0.0006205857333404873,74,Primary,0
Cloyes-sur-le-Loir (France),2659,core,core,core,0,0.3200810141774811,0.0,2,Isolate,0
Lustenau (Austria),29880,core,core,core,0,0.3421537968085959,4.672516782846492e-06,8,Isolate,0
Kiryat Gat (Israel),31152,semi,core,core,0,0.3473718487965048,1.202318753121655e-07,8,Isolate,0
Saint-Georges (Canada),17975,core,core,core,17,0.3546179843758657,1.629427415368314e-05,8,Isolated Clique,0
"Cressona (USA, PA)",7987,core,core,core,0,0.337258931394246,8.631775919696894e-07,7,Isolate,0
"Camuy (USA, PR)",75887,core,core,core,2,0.3344305980092483,1.098838063723884e-06,2,Isolated Clique,0
"Beckley (USA, WV)",14839,core,core,core,0,0.3538240415710772,1.316807048465502e-05,11,Isolate,0
Koblach (Austria),35850,core,,,13,0.3571309005691329,0.000314152413515265,7,High-status clique,0
"Evans (USA, GA)",53694,core,core,core,0,0.3383464608553153,5.537372045362008e-07,6,Isolate,0
Deganwy (United Kingdom),11335,core,core,core,0,0.3500888828114317,0.0,2,Isolate,0
Lohnberg (Germany),13406,core,core,core,0,0.3385880921522469,5.869455272128592e-07,4,Isolate,0
Zarzis (Tunisia),46079,periph,semi,semi,0,0.3305360462714315,0.0,2,Isolate,0
Tambol (Thailand),48716,periph,core,core,2,0.3567029843675983,1.322679215624147e-06,26,Isolated Clique,0
Gordola (Switzerland),18202,core,core,core,0,0.3280204996796925,0.0,2,Isolate,0
Roermond (Netherlands),28297,core,core,core,0,0.3662032269138346,3.755834768372419e-07,31,High-status clique,0
Bungotakada (Japan),122169,core,core,core,0,0.3533942522706567,0.0,7,Isolate,0
"North Adams (USA, MA)",17095,core,core,core,3,0.3386060044967597,1.364430449665132e-05,9,Isolated Clique,0
Roanne (France),53279,core,core,core,0,0.3484118559647261,0.0,5,Isolate,0
Pochlarn (Austria),7770,core,core,core,9,0.3520336605890603,0.0001624475769687399,5,Isolated Clique,0
"Kingston (USA, NY)",23355,core,core,core,0,0.3567924633480127,4.431475053220564e-07,9,Isolated Clique,0
Krems an der Donau (Austria),15030,core,core,core,1,0.3489341983317887,7.47396549109183e-06,14,Isolated Clique,0
Biebesheim am Rhein (Germany),12886,core,core,core,0,0.3262149282638057,0.0,2,Isolate,0
"Muscle Shoals (USA, AL)",26148,core,core,core,15,0.3599223977956476,2.987622338116925e-05,12,Isolated Clique,0
Herzberg am Harz (Germany),8513,core,core,core,0,0.3388928599793503,0.0,8,High-status clique,0
Piovene Rocchette (Italy),8666,core,core,core,0,0.3132202892167658,1.241946708933413e-07,2,Isolate,0
Schonau im Schwarzwald (Germany),4166,core,core,core,0,0.3083538083538084,9.765028619939559e-08,2,Isolate,0
Saint-Quentin (France),49630,core,core,core,1,0.3457393652937205,4.032553646762857e-07,9,Isolated Clique,0
Terborg (Netherlands),20467,core,core,core,2,0.3342123126729675,2.675447886539292e-06,3,Isolated Clique,0
Leven (United Kingdom),22410,core,core,core,0,0.3117556805728063,1.527457915750591e-07,3,Isolate,0
Esztergom (Hungary),17562,semi,,,0,0.3594473928059978,7.935569298189691e-07,8,Isolate,0
Herk-de-Stad (Belgium),114949,core,core,core,10,0.3729460435846638,1.461352927179224e-05,15,Isolated Clique,0
Wangen im Allgau (Germany),12874,core,core,core,0,0.3173434478655362,7.087356286204036e-07,4,Isolate,0
Banting (Malaysia),9508,semi,periph,core,0,0.3449660450576695,0.0,16,Isolate,0
Saint Moritz (Switzerland),6916,core,core,core,0,0.3317954433529458,0.0,2,Isolate,0
"Bangor (USA, ME)",24831,core,core,core,13,0.3570810901280371,5.046511493122716e-05,21,High-status clique,0
Neuhausen (Switzerland),42184,core,core,core,397,0.4432018834608593,0.002399650151419473,69,Primary,0
Aabenraa (Denmark),4349,core,core,core,0,0.3418705266531353,5.027961027332451e-07,6,Isolate,0
Chalon-sur-Saone (France),51904,core,core,core,0,0.3568521409455843,3.714168575802183e-08,8,Isolate,0
Braunau (Austria),30194,core,,,5,0.3345092505487613,3.608585077205082e-06,10,Isolated Clique,1
Karlshamn (Sweden),18877,core,core,core,0,0.3425749993309605,1.63298014130645e-07,5,Isolate,0
Loviisa (Finland),3987,semi,core,core,0,0.3351134846461949,3.15744585485431e-07,4,Isolated Clique,0
Rosa (Italy),148274,core,core,core,0,0.3434573797322315,4.209403623567725e-06,7,Isolate,0
Thebes (Greece),8494,core,core,core,0,0.314466799321984,0.0,2,Isolate,0
"Chatham (USA, VA)",689,core,core,core,1,0.3557216695381537,0.0,3,Isolated Clique,0
Nagykanizsa (Hungary),23916,semi,semi,core,0,0.343521897810219,1.003093766421082e-05,7,Isolate,0
"Hyannis (USA, MA)",43838,core,core,core,0,0.3477776570310802,2.722814934611039e-08,8,Isolated Clique,0
"Monroe (USA, LA)",55719,core,core,core,72,0.387638918329649,0.001214601578665048,31,Primary,0
Sprendlingen (Germany),27975,core,core,core,0,0.327709794685372,0.0,2,Isolate,0
"Sunbury (USA, PA)",12687,core,core,core,6,0.340027093792334,1.058570282964362e-06,7,Isolated Clique,0
Wertheim (Germany),14755,core,core,core,22,0.3652940672887595,0.0001630508683625344,14,Isolated Clique,0
"Glens Falls (USA, NY)",15682,core,core,core,9,0.3531992384736363,0.0005402060513339794,15,Isolated Clique,0
Abadiano (Spain),10819,semi,core,core,0,0.3374634223499328,1.542967731244736e-06,10,Isolated Clique,0
Saal (Germany),145,core,core,core,6,0.3298716693294851,4.19703398626387e-07,1,Isolated Clique,0
Hermsdorf (Germany),9071,core,core,core,0,0.3299822132859021,0.0,2,Isolate,0
Fontaneto D'Agogna (Italy),2654,core,core,core,6,0.330595800728287,3.290833884519183e-07,1,Isolated Clique,0
Deutschlandsberg (Austria),11197,core,core,core,0,0.3401355121562376,0.0,3,Isolate,0
"White Salmon (USA, WA)",3646,core,core,core,0,0.3486490903148491,0.0,3,Isolate,0
